observed_at,market,model_id,model,price,currency,reference_new_price
2026-08-18T22:48:50Z,US,iphone-13,iPhone 13,253.00,USD,629.00
2026-08-18T22:48:50Z,US,iphone-14,iPhone 14,270.00,USD,629.00
2026-08-18T22:48:50Z,US,iphone-14-plus,iPhone 14 Plus,300.00,USD,729.00
2026-08-18T22:48:50Z,US,iphone-15,iPhone 15,395.00,USD,729.00
2026-08-18T22:48:50Z,US,iphone-15-plus,iPhone 15 Plus,416.00,USD,829.00
2026-08-18T22:48:50Z,US,iphone-15-pro,iPhone 15 Pro,537.10,USD,999.00
2026-08-18T22:48:50Z,US,iphone-15-pro-max,iPhone 15 Pro Max,648.00,USD,1199.00
2026-08-18T22:48:50Z,US,iphone-16,iPhone 16,552.00,USD,729.00
2026-08-18T22:48:50Z,US,iphone-16-plus,iPhone 16 Plus,577.00,USD,829.00
2026-08-18T22:48:50Z,US,iphone-16-pro,iPhone 16 Pro,674.69,USD,999.00
2026-08-18T22:48:50Z,US,iphone-16-pro-max,iPhone 16 Pro Max,805.00,USD,1199.00
2026-08-18T22:48:50Z,US,iphone-16e,iPhone 16e,359.00,USD,599.00
2026-08-18T22:48:50Z,US,iphone-17,iPhone 17,712.08,USD,829.00
2026-08-18T22:48:50Z,US,iphone-17-pro,iPhone 17 Pro,1007.00,USD,1099.00
2026-08-18T22:48:50Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1122.00,USD,1199.00
2026-08-18T22:56:00Z,US,iphone-13,iPhone 13,259.00,USD,629.00
2026-08-18T22:56:00Z,US,iphone-14,iPhone 14,270.00,USD,629.00
2026-08-18T22:56:00Z,US,iphone-14-plus,iPhone 14 Plus,300.00,USD,729.00
2026-08-18T22:56:00Z,US,iphone-15,iPhone 15,395.00,USD,729.00
2026-08-18T22:56:00Z,US,iphone-15-plus,iPhone 15 Plus,416.00,USD,829.00
2026-08-18T22:56:00Z,US,iphone-15-pro,iPhone 15 Pro,537.10,USD,999.00
2026-08-18T22:56:00Z,US,iphone-15-pro-max,iPhone 15 Pro Max,648.00,USD,1199.00
2026-08-18T22:56:00Z,US,iphone-16,iPhone 16,552.00,USD,729.00
2026-08-18T22:56:00Z,US,iphone-16-plus,iPhone 16 Plus,577.00,USD,829.00
2026-08-18T22:56:00Z,US,iphone-16-pro,iPhone 16 Pro,674.69,USD,999.00
2026-08-18T22:56:00Z,US,iphone-16-pro-max,iPhone 16 Pro Max,805.00,USD,1199.00
2026-08-18T22:56:00Z,US,iphone-16e,iPhone 16e,359.00,USD,599.00
2026-08-18T22:56:00Z,US,iphone-17,iPhone 17,712.08,USD,829.00
2026-08-18T22:56:00Z,US,iphone-17-pro,iPhone 17 Pro,1007.00,USD,1099.00
2026-08-18T22:56:00Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1122.00,USD,1199.00
2026-08-19T09:30:00Z,US,iphone-13,iPhone 13,256.00,USD,629.00
2026-08-19T09:30:00Z,US,iphone-14,iPhone 14,285.00,USD,629.00
2026-08-19T09:30:00Z,US,iphone-14-plus,iPhone 14 Plus,313.00,USD,729.00
2026-08-19T09:30:00Z,US,iphone-15,iPhone 15,385.00,USD,729.00
2026-08-19T09:30:00Z,US,iphone-15-plus,iPhone 15 Plus,419.00,USD,829.00
2026-08-19T09:30:00Z,US,iphone-15-pro,iPhone 15 Pro,527.00,USD,999.00
2026-08-19T09:30:00Z,US,iphone-15-pro-max,iPhone 15 Pro Max,636.00,USD,1199.00
2026-08-19T09:30:00Z,US,iphone-16,iPhone 16,552.00,USD,729.00
2026-08-19T09:30:00Z,US,iphone-16-plus,iPhone 16 Plus,577.00,USD,829.00
2026-08-19T09:30:00Z,US,iphone-16-pro,iPhone 16 Pro,652.16,USD,999.00
2026-08-19T09:30:00Z,US,iphone-16-pro-max,iPhone 16 Pro Max,774.00,USD,1199.00
2026-08-19T09:30:00Z,US,iphone-16e,iPhone 16e,356.00,USD,599.00
2026-08-19T09:30:00Z,US,iphone-17,iPhone 17,732.00,USD,829.00
2026-08-19T09:30:00Z,US,iphone-17-pro,iPhone 17 Pro,987.00,USD,1099.00
2026-08-19T09:30:00Z,US,iphone-17-pro-max,iPhone 17 Pro Max,1104.00,USD,1199.00
2026-08-20T02:22:00Z,US,iphone-13,iPhone 13,251.90,USD,629.00
2026-08-20T02:22:00Z,US,iphone-14,iPhone 14,287.00,USD,629.00
2026-08-20T02:22:00Z,US,iphone-14-plus,iPhone 14 Plus,311.00,USD,729.00
2026-08-20T02:22:00Z,US,iphone-15,iPhone 15,393.00,USD,729.00
2026-08-20T02:22:00Z,US,iphone-15-plus,iPhone 15 Plus,415.00,USD,829.00
2026-08-20T02:22:00Z,US,iphone-15-pro,iPhone 15 Pro,516.00,USD,999.00
2026-08-20T02:22:00Z,US,iphone-15-pro-max,iPhone 15 Pro Max,644.00,USD,1199.00
2026-08-20T02:22:00Z,US,iphone-16,iPhone 16,516.00,USD,729.00
2026-08-20T02:22:00Z,US,iphone-16-plus,iPhone 16 Plus,577.00,USD,829.00
