observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-01T07:27:54Z,FR,iphone-13,iPhone 13,286.00,EUR,749.00
2026-09-01T07:27:54Z,FR,iphone-13-mini,iPhone 13 mini,272.00,EUR,809.00
2026-09-01T07:27:54Z,FR,iphone-14,iPhone 14,320.00,EUR,749.00
2026-09-01T07:27:54Z,FR,iphone-14-pro,iPhone 14 Pro,512.00,EUR,2129.00
2026-09-01T07:27:54Z,FR,iphone-15,iPhone 15,409.00,EUR,869.00
2026-09-01T07:27:54Z,FR,iphone-15-plus,iPhone 15 Plus,489.00,EUR,969.00
2026-09-01T07:27:54Z,FR,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1229.00
2026-09-01T07:27:54Z,FR,iphone-15-pro-max,iPhone 15 Pro Max,689.00,EUR,1479.00
2026-09-01T07:27:54Z,FR,iphone-16,iPhone 16,599.00,EUR,869.00
2026-09-01T07:27:54Z,FR,iphone-16-plus,iPhone 16 Plus,599.00,EUR,969.00
2026-09-01T07:27:54Z,FR,iphone-16-pro,iPhone 16 Pro,709.00,EUR,1359.00
2026-09-01T07:27:54Z,FR,iphone-16-pro-max,iPhone 16 Pro Max,819.00,EUR,1479.00
2026-09-01T07:27:54Z,FR,iphone-16e,iPhone 16e,406.00,EUR,719.00
2026-09-01T07:27:54Z,FR,iphone-17,iPhone 17,726.00,EUR,969.00
2026-09-01T07:27:54Z,FR,iphone-17-pro,iPhone 17 Pro,975.00,EUR,1329.00
2026-09-01T15:15:39Z,FR,iphone-13,iPhone 13,308.00,EUR,749.00
2026-09-01T15:15:39Z,FR,iphone-13-mini,iPhone 13 mini,292.00,EUR,809.00
2026-09-01T15:15:39Z,FR,iphone-14,iPhone 14,307.00,EUR,749.00
2026-09-01T15:15:39Z,FR,iphone-14-pro,iPhone 14 Pro,503.00,EUR,1329.00
2026-09-01T15:15:39Z,FR,iphone-15,iPhone 15,412.00,EUR,869.00
2026-09-01T15:15:39Z,FR,iphone-15-plus,iPhone 15 Plus,450.00,EUR,969.00
2026-09-01T15:15:39Z,FR,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1229.00
2026-09-01T15:15:39Z,FR,iphone-15-pro-max,iPhone 15 Pro Max,673.00,EUR,1479.00
2026-09-01T15:15:39Z,FR,iphone-16,iPhone 16,598.00,EUR,869.00
2026-09-01T15:15:39Z,FR,iphone-16-plus,iPhone 16 Plus,593.00,EUR,969.00
2026-09-01T15:15:39Z,FR,iphone-16-pro,iPhone 16 Pro,680.00,EUR,1229.00
2026-09-01T15:15:39Z,FR,iphone-16-pro-max,iPhone 16 Pro Max,836.00,EUR,1479.00
2026-09-01T15:15:39Z,FR,iphone-16e,iPhone 16e,400.00,EUR,719.00
2026-09-01T15:15:39Z,FR,iphone-17,iPhone 17,726.00,EUR,969.00
2026-09-01T15:15:39Z,FR,iphone-17-pro,iPhone 17 Pro,969.00,EUR,1329.00
2026-09-02T15:30:55Z,FR,iphone-13,iPhone 13,299.00,EUR,749.00
2026-09-02T15:30:55Z,FR,iphone-13-mini,iPhone 13 mini,281.00,EUR,809.00
2026-09-02T15:30:55Z,FR,iphone-14,iPhone 14,316.00,EUR,749.00
2026-09-02T15:30:55Z,FR,iphone-14-pro,iPhone 14 Pro,503.00,EUR,1329.00
2026-09-02T15:30:55Z,FR,iphone-15,iPhone 15,413.00,EUR,869.00
2026-09-02T15:30:55Z,FR,iphone-15-plus,iPhone 15 Plus,469.00,EUR,969.00
2026-09-02T15:30:55Z,FR,iphone-15-pro,iPhone 15 Pro,559.00,EUR,1229.00
2026-09-02T15:30:55Z,FR,iphone-15-pro-max,iPhone 15 Pro Max,671.46,EUR,1479.00
2026-09-02T15:30:55Z,FR,iphone-16,iPhone 16,570.00,EUR,869.00
2026-09-02T15:30:55Z,FR,iphone-16-plus,iPhone 16 Plus,595.00,EUR,969.00
2026-09-02T15:30:55Z,FR,iphone-16-pro,iPhone 16 Pro,671.00,EUR,1229.00
2026-09-02T15:30:55Z,FR,iphone-16-pro-max,iPhone 16 Pro Max,805.00,EUR,1479.00
2026-09-02T15:30:55Z,FR,iphone-16e,iPhone 16e,401.00,EUR,719.00
2026-09-02T15:30:55Z,FR,iphone-17,iPhone 17,702.00,EUR,969.00
2026-09-02T15:30:55Z,FR,iphone-17-pro,iPhone 17 Pro,966.00,EUR,1329.00
2026-09-03T08:11:05Z,FR,iphone-13,iPhone 13,302.00,EUR,749.00
2026-09-03T08:11:05Z,FR,iphone-13-mini,iPhone 13 mini,266.00,EUR,809.00
2026-09-03T08:11:05Z,FR,iphone-14,iPhone 14,316.00,EUR,749.00
2026-09-03T08:11:05Z,FR,iphone-14-pro,iPhone 14 Pro,498.00,EUR,1329.00
2026-09-03T08:11:05Z,FR,iphone-15,iPhone 15,408.00,EUR,869.00
2026-09-03T08:11:05Z,FR,iphone-15-plus,iPhone 15 Plus,470.00,EUR,969.00
2026-09-03T08:11:05Z,FR,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1229.00
2026-09-03T08:11:05Z,FR,iphone-15-pro-max,iPhone 15 Pro Max,692.00,EUR,1479.00
2026-09-03T08:11:05Z,FR,iphone-16,iPhone 16,575.00,EUR,869.00
2026-09-03T08:11:05Z,FR,iphone-16-plus,iPhone 16 Plus,576.00,EUR,969.00
2026-09-03T08:11:05Z,FR,iphone-16-pro,iPhone 16 Pro,690.00,EUR,1229.00
2026-09-03T08:11:05Z,FR,iphone-16-pro-max,iPhone 16 Pro Max,805.00,EUR,1479.00
2026-09-03T08:11:05Z,FR,iphone-16e,iPhone 16e,410.00,EUR,719.00
2026-09-03T08:11:05Z,FR,iphone-17,iPhone 17,729.00,EUR,969.00
